k,i,j,BaldesDelItemEnColumnaDelPalet,c
1,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,1
1,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,2
1,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,3
1,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,4
2,"731-1984517-AL","20936-SOLOMILLO AL VACIO",1,1
2,"731-1984517-AL","20942-PALETA 3D VACIO",8,1
2,"731-1984517-AL","20936-SOLOMILLO AL VACIO",1,2
2,"731-1984517-AL","20942-PALETA 3D VACIO",8,2
2,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,3
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,1
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,2
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,3
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,4
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,1
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,2
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,3
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,4
10,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,1
10,"731-1984517-AL","20933-JAMON 3D AL VACIO",7,2
10,"731-1984517-AL","20933-JAMON 3D AL VACIO",1,3
10,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,3
